CVE_SUN,CVE_ENT,CVE_MUN,CVE_SUNMUN,NOM_ENT,NOM_MUN,CVE_LOC,NOM_LOC,NOM_SUN,TIPO_SUN,SUBSIS_PPAL
001,01,01001,00101001,Aguascalientes,Aguascalientes,,,Aguascalientes,1,1
001,01,01005,00101005,Aguascalientes,Jesús María,,,Aguascalientes,1,1
001,01,01011,00101011,Aguascalientes,San Francisco de los Romo,,,Aguascalientes,1,1
002,02,02003,00202003,Baja California,Tecate,,,Tijuana,1,1
002,02,02004,00202004,Baja California,Tijuana,,,Tijuana,1,1
002,02,02005,00202005,Baja California,Playas de Rosarito,,,Tijuana,1,1
003,02,02002,00302002,Baja California,Mexicali,,,Mexicali,1,1
004,05,05017,00405017,Coahuila de Zaragoza,Matamoros,,,La Laguna,1,1
004,05,05035,00405035,Coahuila de Zaragoza,Torreón,,,La Laguna,1,1
004,10,10007,00410007,Durango,Gómez Palacio,,,La Laguna,1,1
004,10,10012,00410012,Durango,Lerdo,,,La Laguna,1,1
005,05,05004,00505004,Coahuila de Zaragoza,Arteaga,,,Saltillo,1,1
005,05,05027,00505027,Coahuila de Zaragoza,Ramos Arizpe,,,Saltillo,1,1
005,05,05030,00505030,Coahuila de Zaragoza,Saltillo,,,Saltillo,1,1
006,05,05006,00605006,Coahuila de Zaragoza,Castaños,,,Monclova-Frontera,1,1
006,05,05010,00605010,Coahuila de Zaragoza,Frontera,,,Monclova-Frontera,1,1
006,05,05018,00605018,Coahuila de Zaragoza,Monclova,,,Monclova-Frontera,1,1
007,05,05022,00705022,Coahuila de Zaragoza,Nava,,,Piedras Negras,1,1
007,05,05025,00705025,Coahuila de Zaragoza,Piedras Negras,,,Piedras Negras,1,1
008,06,06002,00806002,Colima,Colima,,,Colima-Villa de Álvarez,1,1
008,06,06003,00806003,Colima,Comala,,,Colima-Villa de Álvarez,1,1
008,06,06004,00806004,Colima,Coquimatlán,,,Colima-Villa de Álvarez,1,1
008,06,06005,00806005,Colima,Cuauhtémoc,,,Colima-Villa de Álvarez,1,1
008,06,06010,00806010,Colima,Villa de Álvarez,,,Colima-Villa de Álvarez,1,1
009,06,06001,00906001,Colima,Armería,,,Tecomán,1,1
009,06,06009,00906009,Colima,Tecomán,,,Tecomán,1,1
010,07,07012,01007012,Chiapas,Berriozábal,,,Tuxtla Gutiérrez,1,1
010,07,07027,01007027,Chiapas,Chiapa de Corzo,,,Tuxtla Gutiérrez,1,1
010,07,07101,01007101,Chiapas,Tuxtla Gutiérrez,,,Tuxtla Gutiérrez,1,1
011,08,08037,01108037,Chihuahua,Juárez,,,Juárez,1,1
012,08,08002,01208002,Chihuahua,Aldama,,,Chihuahua,1,1
012,08,08004,01208004,Chihuahua,Aquiles Serdán,,,Chihuahua,1,1
012,08,08019,01208019,Chihuahua,Chihuahua,,,Chihuahua,1,1
013,09,09002,01309002,Ciudad de México,Azcapotzalco,,,Valle de México,1,1
013,09,09003,01309003,Ciudad de México,Coyoacán,,,Valle de México,1,1
013,09,09004,01309004,Ciudad de México,Cuajimalpa de Morelos,,,Valle de México,1,1
013,09,09005,01309005,Ciudad de México,Gustavo A. Madero,,,Valle de México,1,1
013,09,09006,01309006,Ciudad de México,Iztacalco,,,Valle de México,1,1
013,09,09007,01309007,Ciudad de México,Iztapalapa,,,Valle de México,1,1
013,09,09008,01309008,Ciudad de México,La Magdalena Contreras,,,Valle de México,1,1
013,09,09009,01309009,Ciudad de México,Milpa Alta,,,Valle de México,1,1
013,09,09010,01309010,Ciudad de México,Álvaro Obregón,,,Valle de México,1,1
013,09,09011,01309011,Ciudad de México,Tláhuac,,,Valle de México,1,1
013,09,09012,01309012,Ciudad de México,Tlalpan,,,Valle de México,1,1
013,09,09013,01309013,Ciudad de México,Xochimilco,,,Valle de México,1,1
013,09,09014,01309014,Ciudad de México,Benito Juárez,,,Valle de México,1,1
013,09,09015,01309015,Ciudad de México,Cuauhtémoc,,,Valle de México,1,1
013,09,09016,01309016,Ciudad de México,Miguel Hidalgo,,,Valle de México,1,1
013,09,09017,01309017,Ciudad de México,Venustiano Carranza,,,Valle de México,1,1
013,13,13069,01313069,Hidalgo,Tizayuca,,,Valle de México,1,1
013,15,15002,01315002,México,Acolman,,,Valle de México,1,1
013,15,15009,01315009,México,Amecameca,,,Valle de México,1,1
013,15,15010,01315010,México,Apaxco,,,Valle de México,1,1
013,15,15011,01315011,México,Atenco,,,Valle de México,1,1
013,15,15013,01315013,México,Atizapán de Zaragoza,,,Valle de México,1,1
013,15,15015,01315015,México,Atlautla,,,Valle de México,1,1
013,15,15016,01315016,México,Axapusco,,,Valle de México,1,1
013,15,15017,01315017,México,Ayapango,,,Valle de México,1,1
013,15,15020,01315020,México,Coacalco de Berriozábal,,,Valle de México,1,1
013,15,15022,01315022,México,Cocotitlán,,,Valle de México,1,1
013,15,15023,01315023,México,Coyotepec,,,Valle de México,1,1
013,15,15024,01315024,México,Cuautitlán,,,Valle de México,1,1
013,15,15025,01315025,México,Chalco,,,Valle de México,1,1
013,15,15028,01315028,México,Chiautla,,,Valle de México,1,1
013,15,15029,01315029,México,Chicoloapan,,,Valle de México,1,1
013,15,15030,01315030,México,Chiconcuac,,,Valle de México,1,1
013,15,15031,01315031,México,Chimalhuacán,,,Valle de México,1,1
013,15,15033,01315033,México,Ecatepec de Morelos,,,Valle de México,1,1
013,15,15034,01315034,México,Ecatzingo,,,Valle de México,1,1
013,15,15035,01315035,México,Huehuetoca,,,Valle de México,1,1
013,15,15036,01315036,México,Hueypoxtla,,,Valle de México,1,1
013,15,15037,01315037,México,Huixquilucan,,,Valle de México,1,1
013,15,15038,01315038,México,Isidro Fabela,,,Valle de México,1,1
013,15,15039,01315039,México,Ixtapaluca,,,Valle de México,1,1
013,15,15044,01315044,México,Jaltenco,,,Valle de México,1,1
013,15,15046,01315046,México,Jilotzingo,,,Valle de México,1,1
013,15,15050,01315050,México,Juchitepec,,,Valle de México,1,1
013,15,15053,01315053,México,Melchor Ocampo,,,Valle de México,1,1
013,15,15057,01315057,México,Naucalpan de Juárez,,,Valle de México,1,1
013,15,15058,01315058,México,Nezahualcóyotl,,,Valle de México,1,1
013,15,15059,01315059,México,Nextlalpan,,,Valle de México,1,1
013,15,15060,01315060,México,Nicolás Romero,,,Valle de México,1,1
013,15,15061,01315061,México,Nopaltepec,,,Valle de México,1,1
013,15,15065,01315065,México,Otumba,,,Valle de México,1,1
013,15,15068,01315068,México,Ozumba,,,Valle de México,1,1
013,15,15069,01315069,México,Papalotla,,,Valle de México,1,1
013,15,15070,01315070,México,La Paz,,,Valle de México,1,1
013,15,15075,01315075,México,San Martín de las Pirámides,,,Valle de México,1,1
013,15,15081,01315081,México,Tecámac,,,Valle de México,1,1
013,15,15083,01315083,México,Temamatla,,,Valle de México,1,1
013,15,15084,01315084,México,Temascalapa,,,Valle de México,1,1
013,15,15089,01315089,México,Tenango del Aire,,,Valle de México,1,1
013,15,15091,01315091,México,Teoloyucan,,,Valle de México,1,1
013,15,15092,01315092,México,Teotihuacán,,,Valle de México,1,1
013,15,15093,01315093,México,Tepetlaoxtoc,,,Valle de México,1,1
013,15,15094,01315094,México,Tepetlixpa,,,Valle de México,1,1
013,15,15095,01315095,México,Tepotzotlán,,,Valle de México,1,1
013,15,15096,01315096,México,Tequixquiac,,,Valle de México,1,1
013,15,15099,01315099,México,Texcoco,,,Valle de México,1,1
013,15,15100,01315100,México,Tezoyuca,,,Valle de México,1,1
013,15,15103,01315103,México,Tlalmanalco,,,Valle de México,1,1
013,15,15104,01315104,México,Tlalnepantla de Baz,,,Valle de México,1,1
013,15,15108,01315108,México,Tultepec,,,Valle de México,1,1
013,15,15109,01315109,México,Tultitlán,,,Valle de México,1,1
013,15,15112,01315112,México,Villa del Carbón,,,Valle de México,1,1
013,15,15120,01315120,México,Zumpango,,,Valle de México,1,1
013,15,15121,01315121,México,Cuautitlán Izcalli,,,Valle de México,1,1
013,15,15122,01315122,México,Valle de Chalco Solidaridad,,,Valle de México,1,1
013,15,15125,01315125,México,Tonanitla,,,Valle de México,1,1
014,11,11020,01411020,Guanajuato,León,,,León,1,1
014,11,11037,01411037,Guanajuato,Silao de la Victoria,,,León,1,1
015,11,11025,01511025,Guanajuato,Purísima del Rincón,,,San Francisco del Rincón,1,1
015,11,11031,01511031,Guanajuato,San Francisco del Rincón,,,San Francisco del Rincón,1,1
016,11,11021,01611021,Guanajuato,Moroleón,,,Moroleón-Uriangato,1,1
016,11,11041,01611041,Guanajuato,Uriangato,,,Moroleón-Uriangato,1,1
017,12,12001,01712001,Guerrero,Acapulco de Juárez,,,Acapulco,1,1
017,12,12021,01712021,Guerrero,Coyuca de Benítez,,,Acapulco,1,1
018,13,13022,01813022,Hidalgo,Epazoyucan,,,Pachuca,1,1
018,13,13039,01813039,Hidalgo,Mineral del Monte,,,Pachuca,1,1
018,13,13048,01813048,Hidalgo,Pachuca de Soto,,,Pachuca,1,1
018,13,13051,01813051,Hidalgo,Mineral de la Reforma,,,Pachuca,1,1
018,13,13052,01813052,Hidalgo,San Agustín Tlaxiaca,,,Pachuca,1,1
018,13,13082,01813082,Hidalgo,Zapotlán de Juárez,,,Pachuca,1,1
018,13,13083,01813083,Hidalgo,Zempoala,,,Pachuca,1,1
019,13,13016,01913016,Hidalgo,Cuautepec de Hinojosa,,,Tulancingo,1,1
019,13,13056,01913056,Hidalgo,Santiago Tulantepec de Lugo Guerrero,,,Tulancingo,1,1
019,13,13077,01913077,Hidalgo,Tulancingo de Bravo,,,Tulancingo,1,1
020,13,13010,02013010,Hidalgo,Atitalaquia,,,Tula,1,1
020,13,13013,02013013,Hidalgo,Atotonilco de Tula,,,Tula,1,1
020,13,13070,02013070,Hidalgo,Tlahuelilpan,,,Tula,1,1
020,13,13074,02013074,Hidalgo,Tlaxcoapan,,,Tula,1,1
020,13,13076,02013076,Hidalgo,Tula de Allende,,,Tula,1,1
021,14,14039,02114039,Jalisco,Guadalajara,,,Guadalajara,1,1
021,14,14044,02114044,Jalisco,Ixtlahuacán de los Membrillos,,,Guadalajara,1,1
021,14,14051,02114051,Jalisco,Juanacatlán,,,Guadalajara,1,1
021,14,14070,02114070,Jalisco,El Salto,,,Guadalajara,1,1
021,14,14097,02114097,Jalisco,Tlajomulco de Zúñiga,,,Guadalajara,1,1
021,14,14098,02114098,Jalisco,San Pedro Tlaquepaque,,,Guadalajara,1,1
021,14,14101,02114101,Jalisco,Tonalá,,,Guadalajara,1,1
021,14,14120,02114120,Jalisco,Zapopan,,,Guadalajara,1,1
022,14,14067,02214067,Jalisco,Puerto Vallarta,,,Puerto Vallarta,1,1
022,18,18020,02218020,Nayarit,Bahía de Banderas,,,Puerto Vallarta,1,1
023,14,14063,02314063,Jalisco,Ocotlán,,,Ocotlán,1,1
023,14,14066,02314066,Jalisco,Poncitlán,,,Ocotlán,1,1
024,15,15005,02415005,México,Almoloya de Juárez,,,Toluca,1,1
024,15,15018,02415018,México,Calimaya,,,Toluca,1,1
024,15,15027,02415027,México,Chapultepec,,,Toluca,1,1
024,15,15051,02415051,México,Lerma,,,Toluca,1,1
024,15,15054,02415054,México,Metepec,,,Toluca,1,1
024,15,15055,02415055,México,Mexicaltzingo,,,Toluca,1,1
024,15,15062,02415062,México,Ocoyoacac,,,Toluca,1,1
024,15,15067,02415067,México,Otzolotepec,,,Toluca,1,1
024,15,15072,02415072,México,Rayón,,,Toluca,1,1
024,15,15073,02415073,México,San Antonio la Isla,,,Toluca,1,1
024,15,15076,02415076,México,San Mateo Atenco,,,Toluca,1,1
024,15,15087,02415087,México,Temoaya,,,Toluca,1,1
024,15,15106,02415106,México,Toluca,,,Toluca,1,1
024,15,15115,02415115,México,Xonacatlán,,,Toluca,1,1
024,15,15118,02415118,México,Zinacantepec,,,Toluca,1,1
025,16,16022,02516022,Michoacán de Ocampo,Charo,,,Morelia,1,1
025,16,16053,02516053,Michoacán de Ocampo,Morelia,,,Morelia,1,1
025,16,16088,02516088,Michoacán de Ocampo,Tarímbaro,,,Morelia,1,1
026,16,16043,02616043,Michoacán de Ocampo,Jacona,,,Zamora-Jacona,1,1
026,16,16108,02616108,Michoacán de Ocampo,Zamora,,,Zamora-Jacona,1,1
027,11,11023,02711023,Guanajuato,Pénjamo,,,La Piedad-Pénjamo,1,1
027,16,16069,02716069,Michoacán de Ocampo,La Piedad,,,La Piedad-Pénjamo,1,1
028,17,17007,02817007,Morelos,Cuernavaca,,,Cuernavaca,1,1
028,17,17008,02817008,Morelos,Emiliano Zapata,,,Cuernavaca,1,1
028,17,17009,02817009,Morelos,Huitzilac,,,Cuernavaca,1,1
028,17,17011,02817011,Morelos,Jiutepec,,,Cuernavaca,1,1
028,17,17018,02817018,Morelos,Temixco,,,Cuernavaca,1,1
028,17,17020,02817020,Morelos,Tepoztlán,,,Cuernavaca,1,1
028,17,17024,02817024,Morelos,Tlaltizapán de Zapata,,,Cuernavaca,1,1
028,17,17028,02817028,Morelos,Xochitepec,,,Cuernavaca,1,1
029,17,17002,02917002,Morelos,Atlatlahucan,,,Cuautla,1,1
029,17,17004,02917004,Morelos,Ayala,,,Cuautla,1,1
029,17,17006,02917006,Morelos,Cuautla,,,Cuautla,1,1
029,17,17026,02917026,Morelos,Tlayacapan,,,Cuautla,1,1
029,17,17029,02917029,Morelos,Yautepec,,,Cuautla,1,1
029,17,17030,02917030,Morelos,Yecapixtla,,,Cuautla,1,1
030,18,18008,03018008,Nayarit,Xalisco,,,Tepic,1,1
030,18,18017,03018017,Nayarit,Tepic,,,Tepic,1,1
031,19,19006,03119006,Nuevo León,Apodaca,,,Monterrey,1,1
031,19,19009,03119009,Nuevo León,Cadereyta Jiménez,,,Monterrey,1,1
031,19,19010,03119010,Nuevo León,El Carmen,,,Monterrey,1,1
031,19,19018,03119018,Nuevo León,García,,,Monterrey,1,1
031,19,19019,03119019,Nuevo León,San Pedro Garza García,,,Monterrey,1,1
031,19,19021,03119021,Nuevo León,General Escobedo,,,Monterrey,1,1
031,19,19026,03119026,Nuevo León,Guadalupe,,,Monterrey,1,1
031,19,19031,03119031,Nuevo León,Juárez,,,Monterrey,1,1
031,19,19039,03119039,Nuevo León,Monterrey,,,Monterrey,1,1
031,19,19045,03119045,Nuevo León,Salinas Victoria,,,Monterrey,1,1
031,19,19046,03119046,Nuevo León,San Nicolás de los Garza,,,Monterrey,1,1
031,19,19048,03119048,Nuevo León,Santa Catarina,,,Monterrey,1,1
031,19,19049,03119049,Nuevo León,Santiago,,,Monterrey,1,1
032,20,20067,03220067,Oaxaca,Oaxaca de Juárez,,,Oaxaca,1,1
032,20,20083,03220083,Oaxaca,San Agustín de las Juntas,,,Oaxaca,1,1
032,20,20087,03220087,Oaxaca,San Agustín Yatareni,,,Oaxaca,1,1
032,20,20091,03220091,Oaxaca,San Andrés Huayápam,,,Oaxaca,1,1
032,20,20107,03220107,Oaxaca,San Antonio de la Cal,,,Oaxaca,1,1
032,20,20115,03220115,Oaxaca,San Bartolo Coyotepec,,,Oaxaca,1,1
032,20,20157,03220157,Oaxaca,San Jacinto Amilpas,,,Oaxaca,1,1
032,20,20174,03220174,Oaxaca,Ánimas Trujano,,,Oaxaca,1,1
032,20,20227,03220227,Oaxaca,San Lorenzo Cacaotepec,,,Oaxaca,1,1
032,20,20293,03220293,Oaxaca,San Pablo Etla,,,Oaxaca,1,1
032,20,20338,03220338,Oaxaca,Villa de Etla,,,Oaxaca,1,1
032,20,20350,03220350,Oaxaca,San Sebastián Tutla,,,Oaxaca,1,1
032,20,20375,03220375,Oaxaca,Santa Cruz Amilpas,,,Oaxaca,1,1
032,20,20385,03220385,Oaxaca,Santa Cruz Xoxocotlán,,,Oaxaca,1,1
032,20,20390,03220390,Oaxaca,Santa Lucía del Camino,,,Oaxaca,1,1
032,20,20399,03220399,Oaxaca,Santa María Atzompa,,,Oaxaca,1,1
032,20,20403,03220403,Oaxaca,Santa María Coyotepec,,,Oaxaca,1,1
032,20,20409,03220409,Oaxaca,Santa María del Tule,,,Oaxaca,1,1
032,20,20519,03220519,Oaxaca,Santo Domingo Tomaltepec,,,Oaxaca,1,1
032,20,20539,03220539,Oaxaca,Soledad Etla,,,Oaxaca,1,1
032,20,20553,03220553,Oaxaca,Tlalixtac de Cabrera,,,Oaxaca,1,1
032,20,20565,03220565,Oaxaca,Villa de Zaachila,,,Oaxaca,1,1
033,20,20079,03320079,Oaxaca,Salina Cruz,,,Tehuantepec,1,1
033,20,20124,03320124,Oaxaca,San Blas Atempa,,,Tehuantepec,1,1
033,20,20515,03320515,Oaxaca,Santo Domingo Tehuantepec,,,Tehuantepec,1,1
034,21,21001,03421001,Puebla,Acajete,,,Puebla-Tlaxcala,1,1
034,21,21015,03421015,Puebla,Amozoc,,,Puebla-Tlaxcala,1,1
034,21,21034,03421034,Puebla,Coronango,,,Puebla-Tlaxcala,1,1
034,21,21041,03421041,Puebla,Cuautlancingo,,,Puebla-Tlaxcala,1,1
034,21,21048,03421048,Puebla,Chiautzingo,,,Puebla-Tlaxcala,1,1
034,21,21060,03421060,Puebla,Domingo Arenas,,,Puebla-Tlaxcala,1,1
034,21,21074,03421074,Puebla,Huejotzingo,,,Puebla-Tlaxcala,1,1
034,21,21090,03421090,Puebla,Juan C. Bonilla,,,Puebla-Tlaxcala,1,1
034,21,21106,03421106,Puebla,Ocoyucan,,,Puebla-Tlaxcala,1,1
034,21,21114,03421114,Puebla,Puebla,,,Puebla-Tlaxcala,1,1
034,21,21119,03421119,Puebla,San Andrés Cholula,,,Puebla-Tlaxcala,1,1
034,21,21122,03421122,Puebla,San Felipe Teotlalcingo,,,Puebla-Tlaxcala,1,1
034,21,21125,03421125,Puebla,San Gregorio Atzompa,,,Puebla-Tlaxcala,1,1
034,21,21132,03421132,Puebla,San Martín Texmelucan,,,Puebla-Tlaxcala,1,1
034,21,21136,03421136,Puebla,San Miguel Xoxtla,,,Puebla-Tlaxcala,1,1
034,21,21140,03421140,Puebla,San Pedro Cholula,,,Puebla-Tlaxcala,1,1
034,21,21143,03421143,Puebla,San Salvador el Verde,,,Puebla-Tlaxcala,1,1
034,21,21163,03421163,Puebla,Tepatlaxco de Hidalgo,,,Puebla-Tlaxcala,1,1
034,21,21181,03421181,Puebla,Tlaltenango,,,Puebla-Tlaxcala,1,1
034,29,29015,03429015,Tlaxcala,Ixtacuixtla de Mariano Matamoros,,,Puebla-Tlaxcala,1,1
034,29,29017,03429017,Tlaxcala,Mazatecochco de José María Morelos,,,Puebla-Tlaxcala,1,1
034,29,29019,03429019,Tlaxcala,Tepetitla de Lardizábal,,,Puebla-Tlaxcala,1,1
034,29,29022,03429022,Tlaxcala,Acuamanala de Miguel Hidalgo,,,Puebla-Tlaxcala,1,1
034,29,29023,03429023,Tlaxcala,Natívitas,,,Puebla-Tlaxcala,1,1
034,29,29025,03429025,Tlaxcala,San Pablo del Monte,,,Puebla-Tlaxcala,1,1
034,29,29027,03429027,Tlaxcala,Tenancingo,,,Puebla-Tlaxcala,1,1
034,29,29028,03429028,Tlaxcala,Teolocholco,,,Puebla-Tlaxcala,1,1
034,29,29029,03429029,Tlaxcala,Tepeyanco,,,Puebla-Tlaxcala,1,1
034,29,29032,03429032,Tlaxcala,Tetlatlahuca,,,Puebla-Tlaxcala,1,1
034,29,29041,03429041,Tlaxcala,Papalotla de Xicohténcatl,,,Puebla-Tlaxcala,1,1
034,29,29042,03429042,Tlaxcala,Xicohtzinco,,,Puebla-Tlaxcala,1,1
034,29,29044,03429044,Tlaxcala,Zacatelco,,,Puebla-Tlaxcala,1,1
034,29,29051,03429051,Tlaxcala,San Jerónimo Zacualpan,,,Puebla-Tlaxcala,1,1
034,29,29053,03429053,Tlaxcala,San Juan Huactzinco,,,Puebla-Tlaxcala,1,1
034,29,29054,03429054,Tlaxcala,San Lorenzo Axocomanitla,,,Puebla-Tlaxcala,1,1
034,29,29056,03429056,Tlaxcala,Santa Ana Nopalucan,,,Puebla-Tlaxcala,1,1
034,29,29057,03429057,Tlaxcala,Santa Apolonia Teacalco,,,Puebla-Tlaxcala,1,1
034,29,29058,03429058,Tlaxcala,Santa Catarina Ayometla,,,Puebla-Tlaxcala,1,1
034,29,29059,03429059,Tlaxcala,Santa Cruz Quilehtla,,,Puebla-Tlaxcala,1,1
035,21,21149,03521149,Puebla,Santiago Miahuatlán,,,Tehuacán,1,1
035,21,21156,03521156,Puebla,Tehuacán,,,Tehuacán,1,1
036,22,22006,03622006,Querétaro,Corregidora,,,Querétaro,1,1
036,22,22008,03622008,Querétaro,Huimilpan,,,Querétaro,1,1
036,22,22011,03622011,Querétaro,El Marqués,,,Querétaro,1,1
036,22,22014,03622014,Querétaro,Querétaro,,,Querétaro,1,1
037,23,23003,03723003,Quintana Roo,Isla Mujeres,,,Cancún,1,1
037,23,23005,03723005,Quintana Roo,Benito Juárez,,,Cancún,1,1
038,24,24028,03824028,San Luis Potosí,San Luis Potosí,,,San Luis Potosí-Soledad de Graciano Sánchez,1,1
038,24,24035,03824035,San Luis Potosí,Soledad de Graciano Sánchez,,,San Luis Potosí-Soledad de Graciano Sánchez,1,1
039,24,24011,03924011,San Luis Potosí,Ciudad Fernández,,,Río Verde-Cd. Fernández,1,1
